PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255),RGB(16)
-0.2215856,-0.03529412,-0.6712481,0.05074603,0.7073171,0.4823529,210,89,36,d25924
-0.1204318,-0.09411764,-0.03342369,0.2069138,0.1255412,0.4529412,123,130,100,7b8264
-0.527814,-0.6,-0.2007613,0.1921528,0.7058824,0.2,75,86,14,4b560e
-0.1556378,0.1254902,-0.4686556,0.05103062,0.4977579,0.5627451,199,121,87,c77957
0.04506571,0.4784315,-0.01025192,0.7856,0.05263158,0.7392157,190,185,192,beb9c0
-0.492903,-0.5686275,-0.3390441,0.154105,0.7272727,0.2156863,94,88,14,5e580e
-0.1774851,-0.1333333,-0.07538931,0.1860721,0.1945702,0.4333333,127,132,89,7f8459
-0.6178878,-0.1647059,-0.7569032,0.1089612,0.9906103,0.4176471,212,139,1,d48b01
0.1161161,0.6392157,0.1837146,0.5897077,0.2826087,0.8196079,196,208,222,c4d0de
-0.7449785,0.09803927,-0.6334402,0.1378504,0.9826087,0.5490196,253,213,27,fdd51b
-0.07632555,0.07058823,0.02386259,0.2982263,0.08016881,0.5352941,131,146,126,83927e
-0.3034097,0.03921568,-0.7174757,0.06367436,0.7795919,0.5196078,228,110,36,e46e24
-0.08163881,0.6705883,-0.2334113,0.05354997,0.3333333,0.8352941,227,208,199,e3d0c7
-0.739008,-0.007843137,-0.673651,0.1323581,1,0.4960784,253,200,0,fdc800
0.024301,0.8235295,0.02897724,0.6110666,0.06666667,0.9117647,231,232,234,e7e8ea
-0.04125113,0.1960785,0.04653117,0.3845615,0.06341463,0.5980393,146,159,150,929f96
0.1097315,0.6941177,0.1708314,0.5908727,0.2820513,0.8470588,205,215,227,cdd7e3
0.1176797,0.6470588,0.1861885,0.5897077,0.2888889,0.8235294,197,209,223,c5d1df
0.07959276,0.4156864,0.144317,0.5802148,0.1812081,0.7078432,167,181,194,a7b5c2
-0.7354077,0.003921628,-0.6659387,0.1328833,0.992126,0.5019608,254,203,2,fecb02
-0.7012384,-0.6235294,-0.3456528,0.1771125,1,0.1882353,89,95,0,595f00
-0.005960326,0.3568628,-0.1251719,0.007572782,0.1341463,0.6784314,184,163,162,b8a3a2
0.07914269,0.5254903,-0.04573727,0.8334,0.107438,0.7627451,201,188,201,c9bcc9
0.08318895,0.2392157,0.1127771,0.60115,0.1443299,0.6196079,144,155,172,909bac
-0.04279684,0.1490196,-0.3114957,0.02173047,0.3179723,0.5745098,181,121,112,b57970
0.1176797,0.6470588,0.1861885,0.5897077,0.2888889,0.8235294,197,209,223,c5d1df
-0.6859004,-0.0745098,-0.7238708,0.1207144,1,0.4627451,236,170,0,ecaa00
0.04682657,0.8235295,0.04219127,0.63328,0.1111111,0.9117647,230,231,235,e6e7eb
-0.1155053,0.1764706,-0.3270534,0.05403241,0.352381,0.5882353,187,136,113,bb8871
-0.0481074,0.2784314,-0.1269042,0.05766926,0.1413043,0.6392157,176,159,150,b09f96
0.1209572,0.6627451,0.1913741,0.5897077,0.3023256,0.8313726,199,211,225,c7d3e1
-1.79777E-05,0.3607843,0.02860887,0.4999,0.03067485,0.6803921,170,176,176,aab0b0
-0.6002676,-0.1843137,-0.754261,0.1069834,0.9807692,0.4078431,206,133,2,ce8502
